Quarter,Total Revenue,Net Income,Tax Provision,Interest Expense,Interest Income,Total Assets,Long Term Debt,Stockholders Equity,Diluted EPS,Basic EPS,Net Margin,Tax Rate,Interest Spread,Interest Coverage,Asset Efficiency,Debt to Equity,Equity Ratio,ROE,ROA,Revenue YoY Growth,Net Income YoY Growth,Asset YoY Growth
2010-03-31,,0.885,0.367,0.598,1.905,143.314,72.293,13.425,,,,0.29313099041533547,1.307,3.18561872909699,,5.384953445065177,0.09367542598769137,0.0659217877094972,0.006175251545557308,,,
2010-06-30,,1.017,0.578,0.61,1.798,143.763,69.345,14.513,,,,0.3623824451410659,1.1880000000000002,2.9475409836065576,,4.7781299524564185,0.10095087052996946,0.07007510507820575,0.007074142860123953,,,
2010-09-30,,1.093,0.547,0.61,1.794,146.056,68.828,15.92,,,,0.3335365853658537,1.1840000000000002,2.9409836065573773,,4.323366834170854,0.1089992879443501,0.06865577889447236,0.0074834310127622275,,,
2010-12-31,,1.062,,,,146.689,66.416,18.794,,,,,,,,3.533893795892306,0.1281213996959554,0.05650739597743961,0.007239806665803162,,,
2011-03-31,,1.177,0.555,0.593,1.663,143.979,60.73,17.482,,,,0.3204387990762125,1.07,2.804384485666105,,3.473858826221256,0.12142048493183032,0.0673263928612287,0.008174803269921307,,0.32994350282485874,0.0046401607658708155
2011-06-30,,1.331,0.47,0.577,1.66,147.796,61.395,18.205,,,,0.26096612992781787,1.083,2.876949740034662,,3.3724251579236477,0.12317654063709436,0.07311178247734139,0.009005656445370646,,0.30875122910521147,0.028053115196538636
2011-09-30,,1.235,0.476,0.575,1.688,148.693,61.767,18.1,,,,0.2781998831092928,1.113,2.9356521739130437,,3.4125414364640885,0.12172731735858447,0.06823204419889503,0.008305703698223857,,0.12991765782250697,0.018054718738018227
2011-12-31,,1.192,,,,153.337,59.57,18.794,,,,,,,,3.1696286048738957,0.12256663427613688,0.06342449717995105,0.007773727150002935,,0.12241054613935964,0.04532037167067737
2012-03-31,,1.256,0.517,0.574,1.707,151.784,56.844,19.907,,,,0.2915961646926114,1.133,2.973867595818816,,2.855477972572462,0.1311534812628472,0.06309338423670066,0.008274916987297739,,0.06711979609175867,0.05420929441099043
2012-06-30,,1.339,0.54,0.55,1.671,148.128,55.953,19.267,,,,0.2873869079297499,1.121,3.038181818181818,,2.9040847044168787,0.13006993951177362,0.06949706752478331,0.009039479369194211,,0.006010518407212562,0.002246339549108134
2012-09-30,,1.25,0.62,0.558,1.739,152.873,56.271,19.478,,,,0.3315508021390374,1.181,3.1164874551971327,,2.8889516377451483,0.1274129506191414,0.06417496662901735,0.008176721854088034,,0.012145748987854255,0.028111612517065288
2012-12-31,,0.637,,,,153.14,58.973,18.886,,,,,,,,3.1225775706872816,0.12332506203473946,0.03372868791697554,0.004159592529711376,,-0.4656040268456375,-0.0012847518863680074
2013-03-31,,1.28,0.629,0.519,1.762,156.855,56.366,19.29,,,,0.32949188056574125,1.2429999999999999,3.394990366088632,,2.9220321410057024,0.12297982212871761,0.06635562467599793,0.00816040291989417,,0.019108280254777066,0.0334093185052442
2013-06-30,,1.405,0.59,0.492,1.694,151.933,52.675,19.034,,,,0.2957393483709273,1.202,3.4430894308943087,,2.7674162025848483,0.12527890583349238,0.07381527792371546,0.00924749725207822,,0.04929051530993278,0.025687243465111198
2013-09-30,,1.366,0.638,0.484,1.767,150.103,52.529,19.216,,,,0.31836327345309384,1.283,3.6508264462809916,,2.733607410491257,0.12801876045115687,0.07108659450457952,0.00910041771317029,,0.0928,-0.018119615628658936
2013-12-31,,1.308,,,,153.0,55.33,19.496,,,,,,,,2.838018054985638,0.12742483660130718,0.06709068526877308,0.008549019607843138,,1.0533751962323392,-0.000914196160376024
